timestamp,v_x,w_z
1715420055.616456415,2.2,-0.00390589
1715420055.666462015,1.95,0.0954988
1715420055.716463056,2.07453,0.046704
1715420055.766438322,2.13015,0.103756
1715420055.816428739,2.09314,0.0638505
1715420055.866755611,2.10909,0.0176683
1715420055.916475896,2.09867,0.0499719
1715420055.966496666,2.10331,-0.0470866
1715420056.016492540,2.10046,0.0208215
1715420056.066431338,2.04621,0.124364
1715420056.116460387,2.08243,0.0518974
1715420056.166473700,2.1089,0.150478
1715420056.216425310,2.09138,0.0815266
1715420056.266435806,2.09278,0.0146349
1715420056.316457953,2.09203,0.0614718
1715420056.366487287,2.04636,0.0348823
1715420056.416465073,2.0768,0.0534979
1715420056.466428840,2.072,0.0143098
1715420056.516477064,2.07498,0.0417553
1715420056.566519957,2.08176,0.0153806
1715420056.616465057,2.07704,0.0338384
1715420056.666430635,2.119,0.142622
1715420056.716471173,2.09096,0.0665029
1715420056.766457399,2.1051,0.0053754
1715420056.816459590,2.09561,0.0481612
1715420056.866426832,2.11294,0.0864531
1715420056.916454379,2.10159,0.0596625
1715420056.966473084,2.07697,0.0276992
1715420057.016480006,2.09352,0.0500848
1715420057.066438723,2.10948,0.0378588
1715420057.116431110,2.09898,0.046427
1715420057.166475006,2.0312,0.0175811
1715420057.216474700,2.07632,0.0377757
1715420057.266434713,2.07613,-0.00460551
1715420057.316446226,2.07611,0.0250414
1715420057.366464789,2.14731,0.0797937
1715420057.416517686,2.09988,0.0414559
1715420057.466425895,2.0461,0.0499419
1715420057.516485527,2.08183,0.0440189
1715420057.566477641,2.06274,0.0465175
1715420057.616483855,2.07523,0.0447919
1715420057.666431626,2.1083,0.0258701
1715420057.716430067,2.08629,0.039129
1715420057.766538966,2.09106,0.0805878
1715420057.816470348,2.0879,0.0515708
1715420057.866435519,2.04505,0.0595712
1715420057.916468343,2.07332,0.0539976
1715420057.966507869,2.0803,0.0857788
1715420058.016464869,2.07537,0.0635608
1715420058.066431218,2.12782,0.0216365
1715420058.116492154,2.09284,0.050972
1715420058.166485219,2.13939,0.10163
1715420058.216460414,2.10856,0.066221
1715420058.266423218,2.08202,0.0244617
1715420058.316466789,2.09981,0.0537237
1715420058.366479825,2.08842,0.00744732
1715420058.416535262,2.09613,0.0398349
1715420058.466431530,2.06224,0.0899163
1715420058.516481205,2.08478,0.054881
